name,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat
MSE,0.676(0.045),0.85(0.231),0.681(0.048),0.684(0.047),0.703(0.042),0.522(0.034),0.814(0.479),0.545(0.037),0.53(0.035),0.55(0.033),1.39(0.069),1.135(0.087),1.244(0.067),1.381(0.068),1.388(0.066),6.271(0.008),6.23(0.096),6.249(0.066),6.277(0.036),6.269(0),1.588(0.112),1.742(0.218),1.623(0.136),1.557(0.092),1.681(0.118),0.082(0.009),0.208(0.021),0.08(0.012),0.082(0.01),0.084(0.009),2.477(0.012),2.914(0.043),2.68(0.022),2.548(0.014),2.501(0.013),0.543(0.057),0.7(0.08),0.547(0.092),0.555(0.053),0.563(0.054),3.218(0.171),3.111(0.223),3.094(0.21),3.391(0.18),3.49(0.213),0.771(0.017),1.33(0.037),0.792(0.017),0.788(0.015),0.788(0.017),2.548(0.074),4.149(0.252),2.513(0.102),2.686(0.09),2.602(0.086),0.326(0.026),0.314(0.037),0.194(0.035),0.325(0.027),0.331(0.027),0.981(0.12),1.21(0.103),1.073(0.11),0.994(0.113),1.018(0.116)
Accuracy,0.562(0.019),0.556(0.035),0.574(0.018),0.568(0.019),0.554(0.018),0.647(0.019),0.617(0.045),0.646(0.016),0.645(0.018),0.647(0.017),0.483(0.017),0.469(0.024),0.512(0.021),0.485(0.017),0.484(0.016),0.469(0),0.469(0.005),0.468(0.004),0.468(0.002),0.469(0),0.44(0.028),0.424(0.03),0.432(0.026),0.434(0.029),0.444(0.026),0.922(0.008),0.851(0.013),0.934(0.009),0.921(0.008),0.921(0.008),0.278(0.002),0.272(0.002),0.283(0.001),0.279(0.002),0.278(0.001),0.568(0.03),0.565(0.028),0.644(0.029),0.558(0.03),0.567(0.027),0.288(0.019),0.272(0.019),0.273(0.022),0.291(0.022),0.292(0.023),0.525(0.005),0.473(0.006),0.558(0.005),0.516(0.006),0.523(0.005),0.331(0.01),0.31(0.01),0.367(0.01),0.311(0.01),0.324(0.01),0.697(0.022),0.747(0.018),0.835(0.023),0.698(0.023),0.692(0.023),0.511(0.026),0.473(0.03),0.482(0.029),0.5(0.028),0.507(0.024)
Macro-F1,0.506(0.025),0.496(0.035),0.525(0.022),0.504(0.024),0.491(0.024),0.476(0.047),0.405(0.032),0.469(0.043),0.47(0.041),0.463(0.049),0.538(0.02),0.468(0.024),0.487(0.023),0.542(0.02),0.539(0.019),0.638(0),0.364(0.083),0.365(0.1),0.621(0.07),0.638(0),0.422(0.036),0.348(0.057),0.4(0.041),0.366(0.05),0.417(0.032),0.801(0.028),0.647(0.04),0.88(0.028),0.8(0.03),0.791(0.027),0.257(0.002),0.232(0.002),0.232(0.002),0.34(0.002),0.256(0.001),0.56(0.029),0.546(0.031),0.64(0.03),0.552(0.029),0.556(0.027),0.256(0.018),0.259(0.019),0.26(0.021),0.292(0.033),0.27(0.035),0.528(0.005),0.447(0.009),0.554(0.005),0.517(0.005),0.522(0.005),0.345(0.023),0.317(0.02),0.352(0.01),0.352(0.02),0.318(0.011),0.727(0.022),0.753(0.017),0.846(0.023),0.728(0.022),0.722(0.022),0.513(0.025),0.455(0.032),0.474(0.028),0.5(0.026),0.503(0.022)
name,MSE,Accuracy,Macro-F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,0.676(0.045),0.562(0.019),0.506(0.025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,0.85(0.231),0.556(0.035),0.496(0.035),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,0.681(0.048),0.574(0.018),0.525(0.022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,0.684(0.047),0.568(0.019),0.504(0.024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,0.703(0.042),0.554(0.018),0.491(0.024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,0.522(0.034),0.647(0.019),0.476(0.047),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,0.814(0.479),0.617(0.045),0.405(0.032),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,0.545(0.037),0.646(0.016),0.469(0.043),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,0.53(0.035),0.645(0.018),0.47(0.041),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,0.55(0.033),0.647(0.017),0.463(0.049),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,1.39(0.069),0.483(0.017),0.538(0.02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,1.135(0.087),0.469(0.024),0.468(0.024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,1.244(0.067),0.512(0.021),0.487(0.023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,1.381(0.068),0.485(0.017),0.542(0.02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,1.388(0.066),0.484(0.016),0.539(0.019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,6.271(0.008),0.469(0),0.638(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,6.23(0.096),0.469(0.005),0.364(0.083),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,6.249(0.066),0.468(0.004),0.365(0.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,6.277(0.036),0.468(0.002),0.621(0.07),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,6.269(0),0.469(0),0.638(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,1.588(0.112),0.44(0.028),0.422(0.036),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,1.742(0.218),0.424(0.03),0.348(0.057),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,1.623(0.136),0.432(0.026),0.4(0.041),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,1.557(0.092),0.434(0.029),0.366(0.05),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,1.681(0.118),0.444(0.026),0.417(0.032),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,0.082(0.009),0.922(0.008),0.801(0.028),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,0.208(0.021),0.851(0.013),0.647(0.04),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,0.08(0.012),0.934(0.009),0.88(0.028),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,0.082(0.01),0.921(0.008),0.8(0.03),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,0.084(0.009),0.921(0.008),0.791(0.027),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,2.477(0.012),0.278(0.002),0.257(0.002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,2.914(0.043),0.272(0.002),0.232(0.002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,2.68(0.022),0.283(0.001),0.232(0.002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,2.548(0.014),0.279(0.002),0.34(0.002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,2.501(0.013),0.278(0.001),0.256(0.001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,0.543(0.057),0.568(0.03),0.56(0.029),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,0.7(0.08),0.565(0.028),0.546(0.031),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,0.547(0.092),0.644(0.029),0.64(0.03),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,0.555(0.053),0.558(0.03),0.552(0.029),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,0.563(0.054),0.567(0.027),0.556(0.027),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,3.218(0.171),0.288(0.019),0.256(0.018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,3.111(0.223),0.272(0.019),0.259(0.019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,3.094(0.21),0.273(0.022),0.26(0.021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,3.391(0.18),0.291(0.022),0.292(0.033),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,3.49(0.213),0.292(0.023),0.27(0.035),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,0.771(0.017),0.525(0.005),0.528(0.005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,1.33(0.037),0.473(0.006),0.447(0.009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,0.792(0.017),0.558(0.005),0.554(0.005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,0.788(0.015),0.516(0.006),0.517(0.005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,0.788(0.017),0.523(0.005),0.522(0.005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,2.548(0.074),0.331(0.01),0.345(0.023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,4.149(0.252),0.31(0.01),0.317(0.02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,2.513(0.102),0.367(0.01),0.352(0.01),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,2.686(0.09),0.311(0.01),0.352(0.02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,2.602(0.086),0.324(0.01),0.318(0.011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,0.326(0.026),0.697(0.022),0.727(0.022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,0.314(0.037),0.747(0.018),0.753(0.017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,0.194(0.035),0.835(0.023),0.846(0.023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,0.325(0.027),0.698(0.023),0.728(0.022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,0.331(0.027),0.692(0.023),0.722(0.022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,0.981(0.12),0.511(0.026),0.513(0.025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,1.21(0.103),0.473(0.03),0.455(0.032),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,1.073(0.11),0.482(0.029),0.474(0.028),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,0.994(0.113),0.5(0.028),0.5(0.026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,1.018(0.116),0.507(0.024),0.503(0.022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
